Registration Number,Object Name,Launch Vehicle,Place of Launch,Date of Launch,Apogee (km),Perigee (km),Inclination (degrees),Period (minutes),Function,Country of Origin
3501-2018-011,(GLONASS),,,2018-11-03,,,,,Work on the Global Navigation Satellite System (GLONASS),Russian Federation
CFOSAT 1,,,,2018-10-29,,,,,Marine observation,China
2014-076A-D,TARGET MARKER B,,,2018-10-25,,,,,TM-B is a target marker for a touchdown operation by Hayabusa2,Japan
3500-2018-010,,,,2018-10-25,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
RA 11,,,,2018-10-07,,,,,------,Argentina
D-R061,,,,2018-10-03,,,,,"MASCOT is a mobile landing device carrying scientific instruments to study the surface of the asteroid ""Ryugu"". This includes carrying out geological and physical measurements of the surrounding environment and the subsoil from the asteroid's
surface, determining the surface temperature as well as the thermal properties of the regolith, investigating its mineralogical composition and its magnetic field.",Germany
2014-076A-A,,,,2018-09-21,,,,,Minerva-II-1A is a rover that landed on the surface of Ryugu and moved using a hopping mechanism,Japan
2014-076A-B,,,,2018-09-21,,,,,Minerva-II-1B is a rover that landed on the surface of Ryugu and moved using a hopping mechanism,Japan
3497-2018-009,,,,2018-08-15,,,,,Scientific and educational applications,Russian Federation
3496-2018-009,,,,2018-08-15,,,,,Scientific and educational applications,Russian Federation
3499-2018-009,,,,2018-08-15,,,,,Experimental nanosatellite,Russian Federation
3498-2018-009,,,,2018-08-15,,,,,Experimental nanosatellite,Russian Federation
BTN1,,,,2018-08-10,,,,,"1. To capture images of the Earth; 2. To deliver Automatic Packet Reporting System (APRS) digital repeater services to amateur radio users; 3. To collect data from remote ground  sensors 
developed by students; 4. To demonstrate the performance of  a newly-designed global positioning system (GPS) chip in a 1U CubeSat; 5. To demonstrate the effects of a single-event latch-up on the satellite; 
6. To measure the magnetic field in space for comparison with ground data",Bhutan
008,(BIRDS-MY),,,2018-08-10,,,,,"1.  To capture images of Earth. 2.  To deliver Automatic Packet Reporting System (APRS) digital repeater services to amateur radio users.
",Malaysia
Telkom 4 (Merah Putih),,,,2018-08-07,,,,,Communication satellite,Indonesia
BG-2018-01,,,,2018-07-13,,,,,Amateur satellite ,Bulgaria
3495-2018-008,,,,2018-07-10,,,,,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station.",Russian Federation
3494-2018-007,(GLONASS),,,2018-06-16,,,,,Work on the Global Navigation Satellite System (GLONASS),Russian Federation
2018-052A,IGS R-6,,,2018-06-12,,,,,Satellite conducting missions assigned by the Government of Japan,Japan
3493-2018-006,,,,2018-06-06,,,,,"Delivery to the International Space Station of the crew of Expeditions 56 and 57, consisting of Sergei Valeryevich Prokopyev (Russian Federation), commander of the manned transport vehicle, and flight engineers Alexander Gerst (Germany) and Serena Auñón-Chancellor (United States of America)",Russian Federation
GF-6,,,,2018-06-02,,,,,Earth observation,China
Luojia 1-01,,,,2018-06-02,,,,,Scientific research,China
ZHOBT-04,OHS-03,,,2018-04-26,,,,,Earth observation,China
ZHOBT-01,OHS-01,,,2018-04-26,,,,,Earth observation,China
ZHOBT-05,OHS-04,,,2018-04-26,,,,,Earth observation,China
ZHOBT-03,OHS-02,,,2018-04-26,,,,,Earth observation,China
3492-2019-005,,,,2018-04-18,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
GF-1-03,GAOFEN 1-03,,,2018-03-31,,,,,"For general survey of land territory, crop yield estimation, disaster mitigation and so on",China
GF-1-02,GAOFEN 1-02,,,2018-03-31,,,,,"For general survey of land territory, crop yield estimation, disaster mitigation and so on",China
GF-1-04,GAOFEN 1-04,,,2018-03-31,,,,,"For general survey of land territory, crop yield estimation, disaster mitigation and so on",China
3491-2018-004,,,,2018-03-29,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3490-2018-003,,,,2018-03-21,,,,,"Delivery to the International Space Station of the crew of Expeditions 55 and 56, consisting of Oleg Germanovich Artemyev (Russian Federation), commander of the manned transport vehicle, and flight engineers Andrew Feustel and Richard Arnold (both of the United States of America)",Russian Federation
ROLEU.ESP.18,,,,2018-03-06,,,,,Provision of space capacity for telecommunications services,Spain
2018-021A,IGS 6,,,2018-02-27,,,,,Satellite conducting missions assigned by the Government of Japan,Japan
ROLEU.ESP.15,,,,2018-02-22,,,,,"Provision of Earth observation images for maritime surveillance applications, mapping, defence and security, risks and emergencies, land use planning, civil engineering and environmental monitoring through the capture of images 24 hours a day regardless of atmospheric conditions, day or night",Spain
3489-2018-002,,,,2018-02-13,,,,,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station",Russian Federation
2018-015D,,,,2018-02-02,,,,,Commercial Earth observation,Uruguay
2018-015K,,,,2018-02-02,,,,,Commercial Earth observation,Uruguay
2018-DK-02,,,,2018-02-02,,,,,"GOMX-4B is a 6U satellite operating in tandem operation with another 6U satellite, Ulloriaq. GOMX-4B is equipped with an Automatic Dependent Surveillance Broadcast (ADS-B) payload, a star-tracker, a propulsion module, a Radiation Hardness Assurance board and a hyper-spectral camera. The purpose of the tandem operation is to demonstrate inter-satellite linking and station-keeping capabilities (satellite separation and orbit control) through GOMX-4B’s propulsion system.",Denmark
2018-DK-01,GOMX4 A,,,2018-02-02,,,,,"Ulloriaq is a 6U satellite operating in tandem with another 6U satellite, GOMX-4B. Ulloriaq is equipped with an Automatic Identification System (AIS) payload, Automatic Dependent Surveillance Broadcast (ADS-B) payload, an X-band receiver and a visual camera. The Ulloriaq demonstration is part of an analysis seeking to identify best-practice and future efforts to reinforcing Danish Defence’s surveillance of the Artic within Denmark.",Denmark
ZH 1,ZHANGZHENG 1,,,2018-02-02,,,,,Scientific research,China
3488-2018-001,,,,2018-02-01,,,,,Earth remote sensing,Russian Federation
3487-2018-001,,,,2018-02-01,,,,,Earth remote sensing,Russian Federation
D-R060,,,,2018-02-01,,,,,"Satellite for technology demonstration of intersatellite communication capability in S-band frequency
using nanosatellites",Germany
D-R058,,,,2018-02-01,,,,,"Satellite for technology demonstration of intersatellite communication capability in S-band frequency
using nanosatellites",Germany
D-R059,,,,2018-02-01,,,,,"Satellite for technology demonstration of intersatellite communication capability in S-band frequency
using nanosatellites",Germany
D-R057,,,,2018-02-01,,,,,"Satellite for technology demonstration of intersatellite communication capability in S-band frequency
using nanosatellites",Germany
D-R062,,,,2018-02-01,,,,,Planned function was the qualification of novel hardware as well as amateur radio services,Germany
NZ-2018-001,,,,2018-01-21,,,,,Science/Art,New Zealand
2018-007A,,,,2018-01-17,,,,,Earth observation satellite,Japan
FIN-2-SAT-2018,POC 1,,,2018-01-12,,,,,"Experimental satellite, carrying a synthetic aperture radar. Data will be provided
commercially.",Finland
43113U 18004C,"LEO VANTAGE 1, TELESAT PHASE-1 LEO",,,2018-01-12,,,,,Communications,Canada
2017-082A,,,,2017-12-23,,,,,"GCOM-C is carrying the Second Generation Global Imager (SGLI), a multi-band optical imaging radiometer with 19 spectral channels. SGLI can measure light intensity from near ultraviolet to thermal infrared (380 nm to 12 μm) radiation emitted from the Earth. Using SGLI to conduct global and long-term observations of clouds, aerosols, ocean colour, vegetation, snow and ice, and other components can help elucidate the mechanism behind fluctuations in the radiation budget and carbon cycle, which is needed to make accurate projections regarding future temperature increases.",Japan
2017-082B,,,,2017-12-23,,,,,"SLATS will demonstrate the technology for orbit control at super low altitudes using ion engine technology developed by JAXA. technical data related to the atmosphere  acquired by SLATS will also be used for the design of future satellites. Furthermore, SLATS will photograph the Earth and its technology will be evaluated for future Earth observation satellites.",Japan
3486-2017-016,,,,2017-12-17,,,,,"Delivery to the International Space Station of the crew of Expeditions 54 and 55, consisting of Anton Nikolaevich Shkaplerov (Russian Federation), commander of the manned transport vehicle, and flight engineers Scott Tingle (United States of America) and Norishige Kanai (Japan).",Russian Federation
001T-2017-DZ,,,,2017-12-10,,,,,Satellite telecommunications on Ku band and Ka band and geolocation on L band ,Algeria  
3485-2017-015,,,,2017-12-02,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
2018-MA-SC-001,,,,2017-11-08,,,,,Earth observation,Morocco
3484-2017-014,,,,2017-10-30,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3483-2017-013,,,,2017-10-14,,,,,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other expendable materials required for the crew, scientific experiments and operation of the Station",Russian Federation
3482-2017-012,(GLONASS),,,2017-09-22,,,,,Work on the Global Navigation Satellite System (GLONASS),Russian Federation
3481-2017-011,,,,2017-09-13,,,,,"Delivery to the International Space Station of the crew of Expeditions 53 and 54, consisting of Aleksandr Aleksandrovich Misurkin (Russian Federation), commander of the manned transport vehicle, and flight engineers Mark Vande Hei and Joseph Acaba (both of the United States of America).",Russian Federation
3480-2017-010,(SPUTNIK-INSPEKTOR),,,2017-08-23,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3479-2017-009,,,,2017-08-18,,,,,Experimental nanosatellite,Russian Federation
3476-2017-009,,,,2017-08-18,,,,,Experimental nanosatellite,Russian Federation
3475-2017-009,,,,2017-08-18,,,,,Experimental nanosatellite,Russian Federation
3477-2017-009,,,,2017-08-18,,,,,Experimental nanosatellite,Russian Federation
3474-2017-008,,,,2017-08-17,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3478-2017-009,TNS 0-2,,,2017-08-17,,,,,Technological nanosatellite,Russian Federation
2017-044B,"(VENMS, VENUS)",,,2017-08-02,,,,,Earth observation scientific mission,Israel
3473-2017-007,,,,2017-07-28,,,,,"Delivery to the International Space Station of the crew of Expeditions 52 and 53, consisting of Sergei Nikolaevich Ryazansky (Russian Federation), commander of the manned transport vehicle, and flight engineers Randolph Bresnik (United States of America) and Paolo Nespoli (Italy)",Russian Federation
3471-2017-006,,,,2017-07-14,,,,,Scientific and educational applications,Russian Federation
3472-2017-006,,,,2017-07-14,,,,,Scientific and educational applications,Russian Federation
3468-2017-006,,,,2017-07-14,,,,,Earth remote sensing,Russian Federation
3469-2017-006,,,,2017-07-14,,,,,Earth remote sensing,Russian Federation
3467-2017-006,,,,2017-07-14,,,,,Earth remote sensing,Russian Federation
2017-042L,,,,2017-07-14,,,,,"Monitoring of sea ice at the Arctic Sea and other areas, volcanic ash and typhoons. ",Japan
42828,,,,2017-07-14,,,,,"Satellite for maritime surveillance by the Automatic Identification System (AIS).
Auxiliary technology demonstration payload for very-high frequency data exchange.
",Norway
42826,,,,2017-07-14,,,,,"Satellite for maritime surveillance by the Automatic Identification System (AIS).
Scientific auxiliary payloads for sun irradiation and plasma monitoring.
",Norway
3470-2017-006,,,,2017-07-14,,,,,Scientific and educational applications,Russian Federation
1998-067MU,BIRDS,,,2017-07-07,,,,,"Earth observation, outreach by sound signal transmission, and single event detection.",Japan
1002,INMARSAT S EAN,,,2017-06-28,,,,,"Telecommunication geostationary satellite that operates in Ku-band, Ka-band and S-band",Greece
FIN-1-SAT-2017,,,,2017-06-23,,,,,"Aalto-1 is an educational satellite project with mission goal in technology
demonstration of three payloads; demonstration of miniature hyperspectral Earth
Observation camera; demonstration of miniature radiation monitoring instrument;
demonstration of electrostatic deorbiting device.",Finland
SUCHAI/1,,,,2017-06-23,,,,,Educational and scientific study of the atmosphere,Chile
0003,(QB50 AT03),,,2017-06-23,,,,,Part of the QB50 project to investigate the thermosphere. PEGASUS is equipped with a Langmuir probe to measure electron density and temperature.,Austria
2017-B-SC-031,"(URSAMAIOR, QB50 IT02)",,,2017-06-23,,,,,Scientific measurement of different zones of the thermosphere through a network of CubeSats carrying various instruments.,Belgium
2017-B-SC-028,"(COMPASS 2, QB50 DE04)",,,2017-06-23,,,,,Scientific measurement of different zones of the thermosphere through a network of CubeSats carrying various instruments.,Belgium
2017-B-SC-032,(QB50 LT01),,,2017-06-23,,,,,Scientific measurement of different zones of the thermosphere through a network of CubeSats carrying various instruments.,Belgium
2017-B-SC-027,(QB50 CZ02),,,2017-06-23,,,,,Scientific measurement of different zones of the thermosphere through a network of CubeSats carrying various instruments.,Belgium
