Registration Number,Object Name,Launch Vehicle,Place of Launch,Date of Launch,Apogee (km),Perigee (km),Inclination (degrees),Period (minutes),Function,Country of Origin
3415-2014-022,,,,2014-11-24,,,,,"Delivery to the International Space Station of the crew for Expedition 42/43 consisting of Commander Anton Shkaplerov (Russian Federation), and flight engineers Terry Virts (NASA) and Samantha Cristoforetti (ESA)",Russian Federation
2014-070A,,,,2014-11-06,,,,,Satellite mission to demonstrate new system architecture for Earth observation.,Japan
2014-070C,,,,2014-11-06,,,,,"Earth observation with visible light and infrared cameras (detection of wild fires and monitoring of volcano temperatures using the infrared camera).
Messaging service for amateur radio.",Japan
2014-070E,,,,2014-11-06,,,,,High-speed attitude manoeuvring by means of micro control moment gyros; Earth observation by means of a small high-resolution optical camera; polarized gamma-ray observation by means of a hard X-ray Compton polarimeter.,Japan
2014-070B,,,,2014-11-06,,,,,Earth observation with optical camera,Japan
3414-2014-021,,,,2014-10-30,,,,,Communications satellite intended to support seagoing vessels and aircraft and to transfer data,Russian Federation
3413-2014-020,,,,2014-10-29,,,,,"Delivery to the International Space Station of fuel, water, oxygen, air, food and other consumable materials and equipment, including for the American section and the European Space Agency, required for manned operation of the Station",Russian Federation
3412-2014-019,,,,2014-10-21,,,,,Telecommunications satellite,Russian Federation
14061 ,,,,2014-10-16,,,,,Navigation satellite of the IRNSS series ,India
RA 8,,,,2014-10-16,,,,,Communications satellite,Argentina
2014-060A,,,,2014-10-07,,,,,Its missions are to monitor atmospheric phenomena globally and uniformly with a visible and infrared radiometer in geostationary orbit and to also relay data from Earth-based observing stations.,Japan
3411-2014-018,,,,2014-09-27,,,,,Relaying of information,Russian Federation
3410-2014-017,,,,2014-09-25,,,,,"Delivery to the International Space Station of the crew of Expeditions 41 and 42, consisting of Aleksandr Samokutyaev (Russian Federation), commander, and Yelena Serova (Russian Federation) and Barry Wilmore (NASA), flight engineers",Russian Federation
Optus 10,,,,2014-09-11,,,,,"Commercial telecommunications within Australia, New Zealand and nearby islands",Australia
MEASAT-3b,,,,2014-09-11,,,,,Telecommunications and broadcasting satellite,Malaysia
3,,,,2014-08-19,,,,,Scientific observation of bright massive stars,Poland
3409-2014-016,CHASQUI 1,,,2014-08-18,,,,,Small spacecraft for scientific and educational purposes,Russian Federation
3408-2014-015,,,,2014-07-24,,,,,"Delivery to the International Space Station of fuel, water, oxygen, air, food and other consumable materials required for manned operation of the Station",Russian Federation
3407-2014-014,,,,2014-07-18,,,,,Research on space technology and biotechnology,Russian Federation
40082,,,,2014-07-10,,,,,Communications,United Kingdom
40079,,,,2014-07-10,,,,,Communications,United Kingdom
40080,,,,2014-07-10,,,,,Communications,United Kingdom
40081,,,,2014-07-10,,,,,Communications,United Kingdom
40076,(TDS 1),,,2014-07-08,,,,,Technology Demonstration,United Kingdom
40074,,,,2014-07-08,,,,,"UKube 1 is the UK Space Agency’s pilot cubesat mission, designed to understand the benefits and challenges of a national cubesat programme. The self-funded payloads are from industry and academia, and cover technology demonstration and education/outreach.",United Kingdom
3405-2014-013,"MKA FKI PN2, RELEK",,,2014-07-08,,,,,Fundamental space research,Russian Federation
